Name,Age,Gender,MaritalStatus,Income,EmploymentStatus,CreditScore,OpenCreditLines,TotalCreditLimit,LatePayments,TotalDebt,MonthlyDebtPayments,AssetValue,DefaultStatus
PersonXX,39,Female,Married,9600,Unemployed,640,4,18000,2,4000,1000,20000,1
PersonYY,33,Female,Single,8000,Unemployed,610,3,15000,0,2600,800,14000,0
PersonZZ,46,Male,Married,13500,Unemployed,670,6,32000,1,6500,1700,42000,1
PersonAAA,28,Male,Single,6300,Unemployed,600,2,12000,1,2200,700,15000,0
PersonBBB,40,Female,Divorced,10500,Full-time,720,5,25000,0,4500,1100,35000,1
PersonCCC,35,Female,Married,8500,Part-time,680,4,18000,2,3200,900,18000,1
PersonDDD,45,Male,Divorced,12500,Unemployed,660,6,30000,1,6000,1500,40000,1
PersonEEE,31,Male,Single,6800,Unemployed,620,3,15000,0,2400,700,14000,0
PersonFFF,38,Female,Married,9100,Full-time,710,4,18000,2,3800,1000,22000,1
PersonGGG,29,Male,Single,6600,Part-time,650,2,12000,1,2000,600,14000,0
PersonHHH,41,Male,Married,11000,Unemployed,670,5,25000,0,5000,1200,34000,1
PersonIII,36,Female,Divorced,8300,Part-time,670,4,18000,1,2900,800,16000,0
PersonJJJ,30,Female,Single,7200,Unemployed,600,3,15000,0,2400,700,16000,0
PersonKKK,43,Male,Married,12000,Full-time,760,6,30000,1,5800,1400,38000,1
PersonLLL,34,Male,Single,7700,Unemployed,650,4,18000,2,3200,900,18000,1
PersonMMM,39,Female,Married,9500,Full-time,720,5,25000,1,5000,1200,32000,1
PersonNNN,32,Male,Single,7000,Part-time,660,3,15000,0,2300,700,15000,0
PersonOOO,44,Male,Married,13000,Full-time,750,6,30000,1,6200,1600,40000,1
PersonPPP,36,Female,Married,8800,Part-time,680,4,18000,2,3800,1000,20000,1
PersonQQQ,29,Male,Single,6500,Full-time,700,3,15000,1,2500,800,13000,0
PersonRRR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
PersonSSS,34,Female,Single,7800,Part-time,670,4,18000,1,3000,800,16000,0
PersonTTT,44,Male,Married,12500,Full-time,760,6,30000,1,6200,1600,40000,1
PersonUUU,27,Female,Single,5800,Part-time,680,2,12000,1,2200,700,16000,0
PersonVVV,37,Male,Married,9200,Unemployed,620,5,22000,0,4200,1100,26000,0
PersonWWW,32,Male,Single,7200,Unemployed,600,3,15000,1,2300,700,15000,0
PersonXXX,39,Female,Married,9600,Unemployed,640,4,18000,2,4000,1000,20000,1
PersonYYY,33,Female,Single,8000,Unemployed,610,3,15000,0,2600,800,14000,0
PersonZZZ,46,Male,Married,13500,Unemployed,670,6,32000,1,6500,1700,42000,1
PersonAAAA,28,Male,Single,6300,Unemployed,600,2,12000,1,2200,700,15000,0
PersonBBBB,40,Female,Divorced,10500,Full-time,720,5,25000,0,4500,1100,35000,1
PersonCCCC,35,Female,Married,8500,Part-time,680,4,18000,2,3200,900,18000,1
PersonDDDD,45,Male,Divorced,12500,Unemployed,660,6,30000,1,6000,1500,40000,1
PersonEEEE,31,Male,Single,6800,Full-time,720,3,15000,0,2400,700,14000,0
PersonFFFF,38,Female,Married,9100,Part-time,650,4,18000,2,3800,1000,22000,1
PersonGGGG,29,Male,Single,6600,Unemployed,610,2,12000,1,2000,600,14000,0
PersonHHHH,41,Male,Married,11000,Full-time,740,5,25000,0,5000,1200,34000,1
PersonIIII,36,Female,Divorced,8300,Part-time,670,4,18000,1,2900,800,16000,0
PersonJJJJ,30,Female,Single,7200,Unemployed,600,3,15000,0,2400,700,16000,0
PersonKKKK,43,Male,Married,12000,Part-time,680,6,30000,1,5800,1400,38000,1
PersonLLLL,34,Male,Single,7700,Full-time,680,4,18000,2,3200,900,18000,1
PersonMMMM,39,Female,Married,9500,Unemployed,640,5,25000,1,5000,1200,32000,1
PersonNNNN,32,Male,Single,7000,Part-time,660,3,15000,0,2300,700,15000,0
PersonOOOO,44,Male,Married,13000,Full-time,750,6,30000,1,6200,1600,40000,1
PersonPPPP,36,Female,Married,8800,Unemployed,680,4,18000,2,3800,1000,20000,1
PersonQQQQ,29,Male,Single,6500,Part-time,700,3,15000,1,2500,800,13000,0
PersonRRRR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
PersonSSSS,34,Female,Single,7800,Part-time,670,4,18000,1,3000,800,16000,0
PersonTTTT,44,Male,Married,12500,Full-time,760,6,30000,1,6200,1600,40000,1
PersonUUUU,27,Female,Single,5800,Part-time,670,2,12000,1,2100,700,16000,0
PersonVVVV,37,Male,Married,9200,Unemployed,620,5,22000,0,4200,1100,26000,0
PersonWWWW,32,Male,Single,7200,Unemployed,600,3,15000,1,2300,700,15000,0
PersonXXXX,39,Female,Married,9600,Unemployed,640,4,18000,2,4000,1000,20000,1
PersonYYYY,33,Female,Single,8000,Unemployed,610,3,15000,0,2600,800,14000,0
PersonZZZZ,46,Male,Married,13500,Unemployed,670,6,32000,1,6500,1700,42000,1
PersonAAAAA,28,Male,Single,6300,Unemployed,600,2,12000,1,2200,700,15000,0
PersonBBBBB,40,Female,Divorced,10500,Full-time,720,5,25000,0,4500,1100,35000,1
PersonCCCCC,35,Female,Married,8500,Part-time,680,4,18000,2,3200,900,18000,1
PersonDDDDD,45,Male,Divorced,12500,Unemployed,660,6,30000,1,6000,1500,40000,1
PersonEEEEE,31,Male,Single,6800,Unemployed,620,3,15000,0,2400,700,14000,0
PersonFFFFF,38,Female,Married,9100,Full-time,710,4,18000,2,3800,1000,22000,1
PersonGGGGG,29,Male,Single,6600,Part-time,650,2,12000,1,2000,600,14000,0
PersonHHHHH,41,Male,Married,11000,Unemployed,670,5,25000,0,5000,1200,34000,1
PersonIIIII,36,Female,Divorced,8300,Part-time,670,4,18000,1,2900,800,16000,0
PersonJJJJJ,30,Female,Single,7200,Unemployed,600,3,15000,0,2400,700,16000,0
PersonKKKKK,43,Male,Married,12000,Part-time,680,6,30000,1,5800,1400,38000,1
PersonLLLLL,34,Male,Single,7700,Unemployed,650,4,18000,2,3200,900,18000,1
PersonMMMMM,39,Female,Married,9500,Unemployed,640,5,25000,1,5000,1200,32000,1
PersonNNNNN,32,Male,Single,7000,Part-time,660,3,15000,0,2300,700,15000,0
PersonOOOOO,44,Male,Married,13000,Full-time,750,6,30000,1,6200,1600,40000,1
PersonPPPPP,36,Female,Married,8800,Unemployed,680,4,18000,2,3800,1000,20000,1
PersonQQQQQ,29,Male,Single,6500,Part-time,700,3,15000,1,2500,800,13000,0
PersonRRRRR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
PersonSSSSS,34,Female,Single,7800,Part-time,670,4,18000,1,3000,800,16000,0
PersonTTTTT,44,Male,Married,12500,Full-time,760,6,30000,1,6200,1600,40000,1
PersonUUUUU,27,Female,Single,5800,Part-time,670,2,12000,1,2100,700,16000,0
PersonVVVVV,37,Male,Married,9200,Unemployed,620,5,22000,0,4200,1100,26000,0
PersonWWWWW,32,Male,Single,7200,Unemployed,600,3,15000,1,2300,700,15000,0
PersonXXXXX,39,Female,Married,9600,Unemployed,640,4,18000,2,4000,1000,20000,1
PersonYYYYY,33,Female,Single,8000,Unemployed,610,3,15000,0,2600,800,14000,0
PersonZZZZZ,46,Male,Married,13500,Unemployed,670,6,32000,1,6500,1700,42000,1
PersonAAAAAA,28,Male,Single,6300,Unemployed,600,2,12000,1,2200,700,15000,0
PersonBBBBBB,40,Female,Divorced,10500,Full-time,720,5,25000,0,4500,1100,35000,1
PersonCCCCCC,35,Female,Married,8500,Part-time,680,4,18000,2,3200,900,18000,1
PersonDDDDDD,45,Male,Divorced,12500,Unemployed,660,6,30000,1,6000,1500,40000,1
PersonEEEEEE,31,Male,Single,6800,Unemployed,620,3,15000,0,2400,700,14000,0
PersonFFFFFF,38,Female,Married,9100,Full-time,710,4,18000,2,3800,1000,22000,1
PersonGGGGGG,29,Male,Single,6600,Part-time,650,2,12000,1,2000,600,14000,0
PersonHHHHHH,41,Male,Married,11000,Unemployed,670,5,25000,0,5000,1200,34000,1
PersonIIIIII,36,Female,Divorced,8300,Part-time,670,4,18000,1,2900,800,16000,0
PersonJJJJJJ,30,Female,Single,7200,Unemployed,600,3,15000,0,2400,700,16000,0
PersonKKKKKK,43,Male,Married,12000,Part-time,680,6,30000,1,5800,1400,38000,1
PersonLLLLLL,34,Male,Single,7700,Unemployed,650,4,18000,2,3200,900,18000,1
PersonMMMMMM,39,Female,Married,9500,Unemployed,640,5,25000,1,5000,1200,32000,1
PersonNNNNNN,32,Male,Single,7000,Part-time,660,3,15000,0,2300,700,15000,0
PersonOOOOOO,44,Male,Married,13000,Full-time,750,6,30000,1,6200,1600,40000,1
PersonPPPPPP,36,Female,Married,8800,Unemployed,680,4,18000,2,3800,1000,20000,1
PersonQQQQQQ,29,Male,Single,6500,Part-time,700,3,15000,1,2500,800,13000,0
PersonRRRRRR,41,Male,Divorced,10500,Full-time,740,5,25000,0,4500,1100,35000,1
